calendardate,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
2011-12-31,-1.63549046837e-10,-5.04991549853e-12,-4.71575190158e-12,-4.69001819953e-11,-2.07899443851e-11,24.0404666234,-0.0517986835771,1.74063291092e-10,-7.44066404159e-12,-8.1395930021e-10,-4.56452932737e-11,-1.26743862943e-10,6.29907199234,-0.418412939297,-1.61132830487e-11,-1.00252924603e-10,-8.24971325263e-11,-7.06006414171e-11,-3.25471141724e-08,-3.50872598759e-10,-1.09828005097e-11,-145.937322281,-6.59902961644,-1.14575689202e-10,-9.08485622418e-11,1.19909926926,-3.29518009498e-09,-3.08711461094e-09,-1.15350619719e-10,-0.182938416115,-0.184666037648,-1.44064158645,-2.70164057388e-11,-2.40618047744e-11,-2.39057679254e-09,-1.55758385769e-09,-0.0261871745327,0.0181081023779,3.47414488188e-11,0.0514619347732,-2.99798421508,-6.85552622031e-11,197.792313595,-6.56789296633e-10,-9.73582688884e-09,-8.90551632948e-12,-9.17441337389e-12,-4.21882032404e-10,-2.26127036721e-11,-1.96699874411e-10,-4.45580209416e-11,-6.25751301578e-12,-5.27642910451e-11,-4.30521417236e-11,-8.88340744596e-10,-8.15401384444e-12,9.52380813061e-12,2.69705265191e-10,-2.88555020039e-10,5.86254299195e-10,5.05191585101e-10,-2.83937740153e-11,-2.84468735328e-11,3.13923694746e-11,-1.56158140283e-10,-1.2544540197e-10,-1.25430941706e-10,-2.08677243022e-09,3.00104943565e-09,-4.2403832091e-10,1.05128960827,-1.08790954466e-10,-1.51304962105e-10,-3.01561357371e-10,-0.681469598141,0.589639156066,-0.00737121962751,0.0181638059839,-6.73182753502e-11,-2.33709671539e-07,-0.107206196715,-0.0868240849955,-6.98502214921e-11,-3.1017544813e-11,-2.76134504339e-11,-2.01804556276e-09,-2.08315066299e-07,0.978259816865,6.06523770281,-3.37912782563,1.21883434126,8.87702453998e-08,-1.88459080497e-10,19413.3333333,1.95935378035e-07,2.07111817368e-07,2.09254074483e-07,-0.222940152441,-5.05642188537e-12,2.96142054783e-10,-1.02245622751e-10,-2.11257582022e-10,-0.00846643123637,4.56405477183e-11
2012-12-31,-1.70650616208e-10,-4.4052589131e-12,-4.3382827515e-12,-4.18157628525e-11,-1.9248417291e-11,15.4518667916,-0.0628764222413,1.70155223095e-10,-7.97728003573e-12,-8.81483630857e-10,-5.00054601807e-11,-1.54247490033e-10,4.18158938821,1.87356562466,-1.6096535284e-11,-8.91192867012e-11,-9.7739765152e-11,-3.57525138787e-10,-1.96053195324e-08,-3.88102204674e-10,-1.02955939432e-11,-205.672906443,-6.61347647951,-1.4901924961e-10,-1.15460584359e-10,0.452296236825,-3.81010890684e-09,-3.66472391331e-09,-1.49849471824e-10,-0.217496769889,-0.220030177179,-1.1852157844,-2.85545004357e-11,-2.88251520622e-11,-2.61914212002e-09,-6.7068602414e-10,-0.00742672202712,-0.000922831095169,-2.1870585921e-11,-0.0282745432267,-2.44825256137,-7.88066944925e-11,-14.5921033997,-2.97153116647e-10,-1.64572625013e-08,-6.79755831943e-12,-7.26139185808e-12,-2.30412213261e-10,-1.15540997478e-11,-1.88109036106e-10,-3.74387391141e-11,-5.22747257182e-12,-3.76036697567e-11,-4.20389275776e-11,-7.69792596501e-10,-2.11864993144e-11,-3.48792079778e-11,1.46775929278e-10,-3.29660749388e-10,5.59103082819e-10,-4.15254613435e-10,-3.36606703253e-12,-1.05529652094e-11,-2.68154030815e-11,-6.63226077494e-11,-1.58003034084e-10,-1.57999690896e-10,-2.45145625138e-09,2.42866145e-09,2.33730563531e-09,0.442686086527,-1.16592949084e-10,-1.90201965388e-10,-1.05106010276e-10,1.70815669934,0.204401761476,0.00307425929653,0.0492126103617,-6.89775783721e-11,2.79712964679e-06,0.275941173266,0.291433155633,-5.9293740352e-11,-3.16920100042e-11,-3.08196691787e-11,-1.76279311604e-09,-1.14508780859e-07,0.70356590765,1.23637555466,0.205229540707,0.456974644106,6.95727031787e-08,-2.08200257455e-10,-2773.33333333,5.3434992096e-08,6.93113906391e-08,1.70295493889e-08,0.677307418342,-4.44933241707e-12,1.48112998781e-10,-3.12193235847e-10,-1.89051206847e-10,-0.00787093296183,-1.97872164039e-10
2013-12-31,-5.56450769133e-11,-3.03298274347e-12,-3.35011218078e-12,-2.61393092168e-11,-1.00221630467e-11,3.59533115826,-0.0395550648828,1.38390275962e-10,-6.72967307137e-12,-7.791317448e-10,-2.45560842147e-11,-4.65442228928e-11,2.14455272851,-0.194693719311,-2.09958427681e-11,-5.29904599906e-11,-4.10930004275e-11,-2.66731876126e-09,-1.4451671572e-08,-3.02681044751e-10,-5.5517016876e-12,371.523735706,4.61662256738,-5.60818973962e-11,-5.14631964342e-11,-1.57557082192,-3.83490485249e-09,-3.68125245928e-09,-5.62981553187e-11,-0.0739552909357,-0.0742906238025,-1.66216378974,-1.75427923486e-11,-2.35635371903e-11,-3.2878323964e-09,8.57630798099e-10,-0.0388958904738,0.00182848411407,-1.44042548172e-11,-0.0197221349828,-1.12652784681,-4.27980298324e-11,-157.55175807,-4.24441410606e-11,-8.24793945513e-09,-4.93090896941e-12,-5.3780219434e-12,-1.64405936967e-10,-5.14386737551e-12,-1.1264018138e-10,-1.85520982064e-11,-3.70445121581e-12,-2.48705293427e-11,-1.74351913038e-11,-2.12988282365e-10,-6.65782330062e-12,-1.46805638205e-11,3.4092779659e-10,-3.29459799565e-10,5.02279598872e-10,1.67301612124e-11,3.06867985185e-12,-2.7019782314e-12,-1.83247024569e-11,2.31914407852e-10,-4.96719473633e-11,-4.96714751607e-11,-2.14271432966e-09,-2.04198475163e-10,4.87311243462e-09,-2.39515118877,-8.41268468479e-11,-6.33017966852e-11,-1.30463047054e-10,-0.0140992327941,0.134124729041,0.0566444082268,0.0549206468712,-3.90951079638e-11,9.99677623103e-07,0.112354960011,0.0920789894,-2.20022861825e-11,-2.33719346829e-11,-1.57638178456e-11,-1.76459558489e-09,-2.32932104542e-08,0.269441655763,-9.66912294828,-5.61700161716,-1.64031446145,-1.81353330438e-07,-1.25018145018e-10,-2773.33333333,-2.37407323212e-08,-9.40418275659e-08,-7.75672338046e-08,0.84345858782,-3.08590164946e-12,6.94456247009e-11,-4.67666015106e-10,-5.28769577268e-11,-0.00579315601073,-8.9216596597e-11
2014-12-31,6.42366934675e-11,-9.0672278795e-13,-1.48078092007e-12,7.29336831715e-13,-5.658452808e-13,6.00661059763,-0.00706986125221,1.1065701194e-11,5.04170185635e-13,1.3158249328e-10,5.3022922652e-12,3.79714790412e-11,1.04056840415,-0.463778912488,-7.68445591535e-12,-5.41929699542e-12,6.41295211257e-12,-1.9205716528e-09,-6.50209259245e-09,-1.21760804308e-10,-1.08092840858e-12,-85.9262624751,2.48592271794,4.2085822608e-11,2.07468993704e-11,1.48262080649,8.3861039086e-09,9.33497594645e-09,4.24795877315e-11,0.0369673359887,0.0383263373481,1.14382368764,-2.50823843227e-12,-8.20508946422e-12,-5.23777916111e-10,7.30915014842e-10,-0.020375045959,-0.0990602339323,7.08650738904e-12,0.00769035856539,0.135889840629,1.38553400324e-11,-17.5963975063,1.70899380578e-10,1.2455636932e-09,-5.00700260679e-12,-4.38334238116e-12,-1.72832393848e-11,-1.57114180907e-11,4.71200924028e-11,1.28654058982e-12,-1.17873845969e-12,-6.78394781526e-13,1.89249730257e-12,1.32209753154e-10,4.12639907221e-11,-3.32557718477e-11,4.43896707661e-10,2.12596054656e-10,5.13369239186e-11,4.68154215732e-10,3.58983123212e-11,2.57955021825e-11,7.01958163493e-12,2.26944248227e-10,3.38210069691e-11,3.38138853555e-11,7.5775181894e-09,-1.83640967262e-08,8.55750711828e-10,1.35580727651,-2.39158365358e-12,7.74346310976e-11,-1.36981598875e-12,-0.385848915962,-0.270154940551,-0.0487548014942,-0.108844275533,-1.35725460935e-11,7.33078749965e-07,-0.0233849016645,-0.0420301911337,7.09065667203e-12,-9.46495699554e-12,4.11223297679e-12,-2.78447864585e-10,-2.61815698509e-08,0.903245390776,14.5184615532,2.52218026238,1.50308120999,-1.80589920405e-07,3.29780123509e-11,-2773.33333333,-2.90208930992e-08,-7.55730469966e-08,-1.6816637372e-08,-0.158826617489,-9.48103514445e-13,6.31590521494e-12,4.85179410639e-10,9.469472075e-11,-0.00197964045777,3.71686766469e-11
2015-12-31,1.76795184597e-10,2.26473299966e-12,1.35203994584e-12,2.34496352825e-11,8.67512226736e-12,-4.05354840381,0.0256426098027,-1.10108328226e-10,2.8652882203e-12,1.29799451653e-10,1.95873766283e-11,4.74699579723e-11,-4.61571403128,0.15266670139,1.43055269012e-11,4.66449569882e-11,5.84950202717e-11,-9.70955299295e-10,7.94145295838e-09,4.45115603068e-11,3.73047718579e-12,-200.502669552,-2.84114558645,6.42404235654e-11,4.34212022328e-11,1.40683810904,-1.14073632448e-09,-9.03011675398e-10,6.45681551955e-11,0.0625178984235,0.0646317907478,0.210648783692,1.28552684038e-11,9.7273721179e-12,-1.05583114324e-09,-5.72502834663e-10,-0.0320820786319,0.0340326132624,7.87559792181e-12,0.0109004103115,1.91430517977,3.79058495937e-11,-263.868587647,1.19744068515e-10,7.73885310209e-09,6.02692620981e-12,1.71545758966e-12,9.06231882952e-11,1.18678350214e-11,2.10246391675e-10,1.47701719979e-11,2.82742124396e-12,1.87115001256e-11,2.3103408919e-11,1.93306789961e-10,2.47001471346e-12,-3.74254782857e-11,-2.87867248554e-10,3.12935980949e-10,-2.29444198916e-10,-2.57004438035e-11,-6.59445587506e-12,-1.54035884517e-13,1.08875586193e-11,2.3588020848e-10,4.63639481634e-11,4.63660516784e-11,-1.41812691535e-10,2.39475834536e-09,-6.30308831841e-11,1.2089477684,4.65742263836e-11,1.09758372191e-10,8.89970503461e-11,-0.527174752719,-0.286872571975,-0.0129572247546,-0.00587536269864,3.48903980389e-11,-1.46205844328e-06,-0.167918517968,-0.171250590728,3.78728775372e-11,3.62656968795e-12,1.31525986216e-11,-4.00205758536e-10,2.97627323761e-08,0.611180297345,-6.28250563947,-0.143365844576,1.35899174872,-7.19625786242e-08,8.15442913066e-11,-2773.33333333,-8.46091535918e-08,-5.95435822416e-08,-2.60885091626e-08,-0.50822876671,2.29198857782e-12,4.51922190845e-11,9.19832203076e-10,2.17264946379e-10,0.00411987054856,1.71007652735e-10
2016-12-31,5.2361476052e-11,2.51061083636e-12,3.17609617125e-12,2.79908099503e-11,9.77039881666e-12,-6.86150443031,0.0247829391315,-2.03383938953e-10,4.34732665095e-12,5.10135515647e-10,2.68301082948e-11,9.16971674981e-11,-7.23796836257,-0.235894422943,4.6226976366e-12,3.44208540867e-11,4.48800766176e-11,1.13106878749e-09,1.44935662406e-08,3.24080085557e-10,6.62725089248e-12,511.974352833,1.28067192067,1.02609546524e-10,8.2263542195e-11,0.400039027276,5.57905448987e-10,2.7300784313e-10,1.02312795532e-10,0.114328346474,0.115282716714,0.207309050813,1.39538581803e-11,1.94135816696e-11,2.56044595944e-09,-5.07334892501e-10,0.102849574183,0.00939827795363,-3.00786900541e-11,-0.043023972292,1.56774355039,5.65901171613e-11,35.628889327,3.31255901624e-10,2.98797866877e-08,3.42396087668e-12,6.40320942753e-12,8.12007301487e-11,8.52630859191e-12,1.007164902e-11,1.85494924854e-11,3.02744359479e-12,1.79411071367e-11,2.43825679418e-11,1.08700494058e-10,-6.61502849007e-12,3.35918559528e-10,4.64652720997e-10,-9.8155129232e-12,-5.99079146649e-10,2.4053105704e-10,1.20741906198e-11,1.0461776097e-11,-2.58507763657e-11,-2.61673953176e-10,9.45622458325e-11,9.45589767089e-11,-9.09265393494e-10,1.56224524123e-09,-1.46757794905e-09,0.474406577671,7.64871503953e-11,1.50490614776e-10,1.0882794759e-10,-1.33348527784,0.299301517234,0.0228500567127,-0.0387702093485,5.11824945044e-11,-1.4103600565e-06,-0.179649776651,-0.186430774196,2.11304241629e-11,1.76513998163e-11,1.87326599468e-11,1.17159926509e-09,1.25486633244e-08,-1.84354812501,9.18081360265,5.57773882289,0.385689517208,3.14914408823e-08,1.36897232734e-10,-2773.33333333,-4.86392314759e-08,-3.73639365951e-08,-4.38644929918e-08,-1.05918304071,2.51318739143e-12,5.36242687072e-11,6.94724604798e-10,1.33272210892e-10,0.00414559574774,3.15162551105e-10
2017-12-31,5.97675570002e-11,4.04402121324e-12,4.1275002186e-12,2.51904390233e-11,1.39674914931e-11,-21.6523990264,0.0402694540245,-8.44960275661e-11,5.92003724559e-12,7.41710284606e-10,2.47979968449e-11,2.70852377892e-11,1.33246859794,-0.405664631534,2.01668983826e-11,7.6385265391e-11,5.61225144071e-11,2.64825138378e-09,1.44647973633e-08,3.10932079055e-10,9.44192479591e-12,-115.724177967,8.27507818681,1.20292599682e-11,2.34536813677e-11,-4.26147981853,6.34590965347e-11,-5.8982957697e-10,1.22967226311e-11,0.0569996462342,0.0570946083511,1.01312795786,1.91213628363e-11,2.31117244468e-11,2.48643899895e-09,1.42902067807e-10,0.00758461325072,0.02020823482,-8.74022703683e-12,-0.0121549146772,1.31437026019,2.29987568237e-11,212.090856528,2.71041412013e-10,-2.95269174311e-09,8.76466527508e-12,7.92780187413e-12,2.54210899089e-10,2.58648999912e-11,1.11990759719e-10,2.78634753896e-11,5.09203273942e-12,3.38029458923e-11,2.55269189744e-11,4.80219634427e-10,-5.41737478734e-12,-4.91632765872e-11,-6.75468162174e-10,4.05268862837e-10,-4.33743772321e-10,3.26633167707e-10,-3.63043464619e-13,4.84278909035e-12,-6.87132812257e-12,-1.4136784046e-10,2.97780184171e-11,2.9775678192e-11,-1.33937820048e-09,4.80551955951e-09,-3.05401447676e-09,-3.06936420373,7.69335457228e-11,-2.6958480646e-11,1.28697404777e-10,-1.12617324798,0.498636012217,-0.01352653755,-0.0267826372162,6.17658743126e-11,-1.71618462982e-07,-0.0817989053027,-0.0822614603121,3.51052394564e-11,2.65788532265e-11,1.2814561273e-11,1.49122917086e-09,1.47304569899e-07,-0.886073316123,-12.1342303394,1.65225886773,-4.19175862256,1.15670812646e-07,1.01057866291e-10,-2773.33333333,-2.57713314193e-08,3.83353024447e-09,-2.83665056427e-08,-0.635961087809,4.08472353591e-12,-2.72471484342e-10,-5.82317438722e-10,-3.45361126577e-12,0.00746591425625,-1.62562399239e-10
2018-12-31,3.66838288421e-11,4.57551489378e-12,5.22929141822e-12,3.74950329767e-11,1.82133574264e-11,-16.5268233103,0.0706050289947,-9.56861965969e-11,8.51079484622e-12,9.61346930681e-10,4.36890636359e-11,1.23311733568e-10,-3.14456871731,-0.30778770048,2.17949940957e-11,9.03308918247e-11,5.54193346969e-11,2.20765132229e-09,3.62063813069e-08,4.83892927573e-10,8.11137167495e-12,-129.73474982,-0.604643710389,9.8711783542e-11,8.78870178688e-11,0.896157191569,3.07346172467e-09,2.31794844632e-09,9.98409857706e-11,0.20357724982,0.20365138547,1.71311168058,2.96914475349e-11,3.24029052569e-11,4.83027540992e-09,1.57665972825e-09,0.0145327241908,0.0164073524996,2.53902036994e-11,0.0331228615286,1.64045579228,5.88099229169e-11,8.09678717326,1.0344579161e-10,-1.4704828947e-09,7.42543386354e-12,1.01507006652e-11,4.07948604483e-10,8.76304528163e-12,1.1802019908e-10,3.80791777992e-11,5.42127768493e-12,4.54613317715e-11,2.76208674673e-11,9.56684951862e-10,4.29673430129e-12,-1.7603806914e-10,-7.02623008988e-10,2.66901834735e-11,-4.36706786919e-10,-1.11628512955e-09,-1.23238424054e-11,7.5578548821e-13,2.85627002978e-11,-6.92163228902e-11,1.28595164036e-10,1.28587515828e-10,1.49388110737e-09,4.37606116957e-09,-3.05750715184e-09,0.931378075113,1.1190741155e-10,9.40835867599e-11,2.11977827977e-10,2.36009432609,-1.16907566351,4.1059190239e-05,0.0579754215799,4.11247409236e-11,-1.25213938555e-06,0.171662165024,0.185284956331,4.9947050198e-11,4.7689623765e-11,2.53848846401e-11,3.56125945085e-09,1.82682661864e-07,-0.73607162727,-2.91502948621,-0.817912206336,0.90850162272,1.28400627361e-07,1.69200080287e-10,-2773.33333333,-3.75890282238e-08,-1.37343448523e-08,-3.35802448984e-08,1.064373659,4.64985996119e-12,-3.4636158693e-10,-6.35313906088e-10,1.14074798397e-11,0.00837878011415,-1.19328268331e-10
