calendardate,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
2011-12-31,-14993878745.4,1.41536691428e+12,1.41893560407e+12,1.39692556761e+11,2.38411488116e+11,1.17414516129,88.3635238095,-12847240552.7,1.07206804664e+11,1948977049.18,1.81308903033e+11,7648404251.93,3.09669491525,1.54331782946,3.02822852377e+11,54381255703.4,64247685357.4,6107971693.31,104340737.822,13282389949.8,7.4131167689e+11,0.0132479338843,0.348707692308,15614905221.6,29000070643.8,0.0651349206349,971405729.279,728178502.953,14867961770.5,1.7315546875,1.6999921875,0.269140625,1.48443156368e+11,1.55613863468e+11,4638364328.34,11301582195.9,10.1083333333,14.1382416667,1.24111139125e+11,89.0541190476,3.88978461538,59065383047.4,0.427896825397,16111050648.8,746943451.124,1.47339090069e+12,1.46614392146e+12,17037218333.4,1.01510180419e+12,16595765337.3,96673092491.6,1.24325807926e+12,1.32805511647e+11,1.21907265645e+11,7317170449.72,23387727160.5,1271627912.49,-416062557.2,2326442266.1,-2777595856.44,-204305608.362,-1.10081644548e+11,-32913279138.2,1.36958379678e+11,-3139973796.72,6059422262.95,6058694171.37,450741115.651,-8778267.13178,1593075012.23,-0.0438174603175,55375820099.6,3689562947.84,32666907025.9,0.156640625,6.122075,19.2132416667,20.1930495868,67124614156.3,728091.581395,6.44530508475,7.30223728814,99449402048.8,1.22607474317e+11,2.4037428608e+11,6651833360.07,36321480.9612,0.0019435483871,0.203080645161,-0.203241935484,0.0273492063492,35870121.3538,38098177341.0,1.0234375,521111280.407,512534623.23,251001587.96,32.7732301587,1.39925586363e+12,16801180957.1,8808539507.51,11252310961.7,965.120912698,6887045113.86
2012-12-31,-15481199418.0,1.45890348161e+12,1.44278889149e+12,1.44138207602e+11,2.45151360119e+11,1.13817054264,83.5559457364,-13031695939.1,94649464077.3,1825089312.71,1.77857199529e+11,4900618732.49,2.99668067227,5.29489230769,3.02877986312e+11,56422242959.9,60660644260.4,6027777261.24,130312826.908,12963805699.7,7.51516441181e+11,0.0124758064516,0.348184615385,11893862625.3,24857668325.0,-0.1254765625,941731992.423,697139644.592,11180555665.1,0.111046511628,0.0682015503876,0.423279069767,1.45337205894e+11,1.47457511954e+11,4612068077.01,12159426124.0,19.1370967742,3.10046774194,14965937739.1,10.5582325581,4.03331538462,55737120290.3,0.41965625,19428229871.7,713306960.223,1.51496766174e+12,1.50005714756e+12,19695183820.7,1.05633300784e+12,16972179971.2,1.04314675835e+11,1.29005558298e+12,1.4500583689e+11,1.2300328587e+11,7631548667.65,-15266825065.7,-796691935.492,-935607880.115,1853699886.05,-2889290017.92,-3334465661.59,-38775437754.1,39624217453.2,27997633678.3,-917583558.608,2930073611.92,2927944147.47,417693943.308,-18730248.4077,1972414351.34,-0.2481328125,54449750296.9,1287369993.42,39533552662.1,1.50283464567,4.93290322581,30.4236048387,29.5486147541,66553721781.7,2129464.45385,20.029557377,20.0383278689,1.04532623228e+11,1.21808313008e+11,2.33594319819e+11,6718477860.85,42089086.9538,-0.256519379845,0.148744186047,0.0957984496124,-0.16990625,34693997.4769,37233489928.9,1.02307692308,502725281.266,498222869.178,226498219.921,34.287124031,1.43947525174e+12,13497225610.7,8250482053.18,12240887980.8,977.706364341,-867629288.067
2013-12-31,-7589341459.02,1.55157948183e+12,1.50523403868e+12,1.57845189134e+11,2.8549043227e+11,1.08850769231,93.6770769231,-14530957365.3,1.23844690722e+11,2012875601.97,1.98004065935e+11,15660853259.8,2.90046610169,1.90950769231,2.86749380031e+11,63045278086.0,73991299014.7,5382197711.72,140655364.992,13694778684.9,8.21961493147e+11,0.0199365079365,0.754792307692,21934167468.4,35628946153.2,-0.6430625,940303079.631,696251453.915,21179778091.2,6.84198461538,6.79299230769,0.135461538462,1.67573691085e+11,1.56467054578e+11,4535135815.38,13637676782.2,3.99206349206,4.69620634921,29360654616.6,18.9775769231,4.37840769231,67427808394.9,0.414109375,21777591167.1,754389377.115,1.55178491979e+12,1.53344472278e+12,20611476556.1,1.08023309488e+12,20278909805.1,1.24586922963e+11,1.35925053353e+12,1.55252676479e+11,1.49617790491e+11,9108139831.92,27825451311.4,144173354.177,-115049517.477,1856010938.53,-3123049393.69,-1865415664.58,-20442260355.2,71450184752.5,43891611981.9,6460332655.85,13342555051.3,13341256676.9,445671733.669,-64507192.2538,2320770546.95,-1.200828125,58303364451.2,9124443943.75,38647255656.1,0.532603174603,4.71596825397,87.9165,31.2685491803,76834950868.2,1298374.36923,14.2297096774,13.325983871,1.22489431667e+11,1.31666616116e+11,2.6543187433e+11,6718007249.74,47697404.8615,-0.664992307692,0.0260307692308,-0.389946153846,-0.712921875,19321191.1,40876966996.4,1.02307692308,492767744.705,481257238.969,214439718.058,34.5665307692,1.52980189067e+12,11741398084.7,7837223039.98,18303054012.0,1021.61876923,2592512654.37
2014-12-31,637131018.015,1.69517540842e+12,1.62336209187e+12,1.81338259934e+11,3.2683538923e+11,1.09860769231,107.775184615,-20540500612.9,2.9312371804e+11,3683774438.67,2.21641294716e+11,24104504025.3,2.8483220339,1.46906153846,3.3057069933e+11,71765890189.9,85170851018.4,5590911017.18,156608884.515,15242964267.4,8.88350828949e+11,0.0140236220472,0.677646153846,32539524852.8,47782489120.2,0.1375,1644561590.21,1395701528.94,31737626557.9,12.0433615385,11.9894230769,1.82875384615,1.97933707249e+11,1.82765556616e+11,4853137990.58,13515112084.0,12.905511811,-53.8183622047,70793780624.3,45.9635692308,4.70801538462,85821072444.5,0.41953968254,23745409581.1,801898294.954,1.55028407064e+12,1.55107797605e+12,22653819596.6,1.04083274755e+12,27278937373.0,1.45881010689e+11,1.47400044728e+12,1.74721001975e+11,1.70525056445e+11,10023571620.5,1.69962288309e+11,-721071280.315,320135589.115,8090002615.61,-4978128858.85,-330258536.692,73092339656.2,1.86971950654e+11,91334281237.2,6337378698.54,21367664589.2,21366489482.5,1326506529.84,-380249262.138,1768885897.65,0.0584126984127,68005057769.9,17816014674.6,43159413176.2,0.323178294574,3.46801574803,-25.2007086614,-18.0767777778,85616129327.6,1175106.72308,9.41713709677,8.81046774194,1.36498442939e+11,1.48144736334e+11,3.07462367161e+11,7106029281.15,47519816.3462,-0.0686384615385,0.2982,0.2891,0.100944444444,19367960.8769,47797389660.3,1.02307692308,492086476.154,483175379.946,222183757.078,32.8810461538,1.67142999883e+12,10332365426.9,10369961968.6,24872607523.2,1102.21483077,6617257958.76
2015-12-31,8361068747.59,1.90935812453e+12,1.80237563588e+12,2.01204150428e+11,3.67238790957e+11,1.05646923077,121.971923077,-26259746654.8,3.48376195884e+11,3680503069.83,2.32950007615e+11,25053461876.5,2.58116101695,2.47807692308,4.02962108958e+11,81310163125.0,97427298017.5,5856325594.38,185594744.838,16665803840.4,9.59798429118e+11,0.0125426356589,0.484769230769,34932953780.9,51598757621.4,0.118157480315,1095559585.2,845545140.546,34098560721.0,13.2414769231,13.2032230769,1.26562307692,2.28957994267e+11,2.13471581461e+11,4791925708.13,12254392928.2,7.27131782946,23.3743178295,72315108121.3,49.1236769231,5.17234615385,93629387712.3,0.409984251969,23273567903.9,834393059.869,1.76791412764e+12,1.65919488988e+12,24151766175.9,1.14365999495e+12,34426450111.3,1.60353860013e+11,1.65601104187e+12,1.90324783627e+11,1.93469453952e+11,10185595050.3,54898759165.1,-915298775.246,-2772572413.45,9243976436.79,-6133200942.52,-2009709361.56,-47973410328.1,81778915400.0,98574854776.1,6558440346.15,22573257058.9,22573096920.4,626990831.038,-19319714.0692,1642668371.48,0.00911023622047,73817130228.1,19812257484.1,46317979525.0,0.2435625,3.41641085271,13.2181937984,12.9496141732,1.02290073082e+11,160138.461538,4.29278740157,4.45955905512,1.5132088566e+11,1.63656643765e+11,3.26579395328e+11,7074239207.59,50959507.9538,-0.343446153846,0.0641384615385,0.0667153846154,0.0636377952756,26022938.3154,49924651380.9,1.02307692308,484914244.985,484840177.092,221001847.087,32.2934769231,1.88608455663e+12,11200070785.1,11525303662.2,30329153552.0,1231.12385385,10879366800.5
2016-12-31,-177764765.7,1.92596336403e+12,1.91764263822e+12,2.05174805957e+11,3.72027564231e+11,1.04470769231,121.598838462,-30662226047.5,3.83057348776e+11,4378310417.42,2.38683678551e+11,29472038579.1,2.45730508475,1.84206923077,3.71086064965e+11,79069274884.9,94223300150.5,6443834257.41,198743776.685,19058150650.6,1.00281445126e+12,0.0217519379845,0.634007692308,39078086839.8,58136237490.5,-0.138814516129,1193446997.67,908740631.192,38132892553.3,15.6709692308,15.5403846154,1.26360769231,2.3117643078e+11,2.30057424391e+11,5207975389.12,12317426032.4,72.2093023256,9.08662015504,-858880830.331,-3.96171538462,5.08186153846,99695481711.0,0.42160483871,25224491357.2,945194286.577,1.71657398369e+12,1.74229734675e+12,24020964524.4,1.13120135571e+12,25655629407.3,1.64410447908e+11,1.66509859446e+12,1.89704819257e+11,1.94853153702e+11,9961227340.14,27952381377.3,16475296531.4,407858259.792,5532126244.79,-7653798214.02,-1104336282.53,5215256474.11,1.24812802213e+11,29803345217.2,-5750269588.66,27205942791.8,27205758749.5,557445267.908,-33794432.3231,1449718864.23,-0.237483870968,77367690949.2,22327790761.7,47011123010.5,-0.210671875,5.22584496124,51.6475116279,3.03780314961,1.07895458908e+11,184042.307692,3.87686290323,3.94843548387,1.43258957404e+11,1.80274405157e+11,3.38379160262e+11,7484625718.92,49901114.4,-2.65313076923,0.238138461538,0.544023076923,-0.188362903226,32360975.8154,52349177121.0,1.02307692308,489555235.623,487143723.177,218735895.467,31.3669692308,1.90073887267e+12,11388271103.2,10926949761.4,26589989126.7,1231.66753846,15469986699.7
2017-12-31,330451962.246,2.02952148416e+12,1.97776441025e+12,2.02726252638e+11,3.90378112549e+11,0.982753846154,128.319761538,-25050881604.4,4.19860319238e+11,4803183550.92,2.37074968068e+11,23016899980.4,2.8621092437,1.56418461538,4.22257846814e+11,86762073002.7,96868977401.4,6867881690.7,198686042.2,18945639446.5,1.04461132157e+12,0.0136384615385,0.887253846154,29292422969.1,48238062415.6,-1.32860483871,1164953600.88,862374535.008,28511534260.4,12.9827153846,12.8554384615,1.74988461538,2.41611427772e+11,2.36389810131e+11,5199460949.7,12946361865.9,26.3615384615,15.3563,40280619878.1,26.4270615385,5.01570769231,88789603350.2,0.428451612903,24669090468.9,780888708.769,1.82191251015e+12,1.76932466867e+12,26422674935.3,1.19584703774e+12,30121298923.8,1.74407745157e+11,1.75889842412e+12,2.02469440712e+11,1.96091028125e+11,10946460151.9,31504640668.7,-1462052652.04,-4410718754.46,10305864086.8,-6973644671.65,-811528959.585,-30219551284.5,1.02034812996e+11,65331501482.5,-2774084966.11,20979063823.5,20978307022.7,518469006.185,22595649.4,1231782311.05,-1.42716935484,77420676532.2,11368926818.1,47705614270.2,-0.0938828125,5.84116153846,12.6071923077,6.649875,1.11536729219e+11,756800.769231,7.34610483871,7.45586290323,1.49988195692e+11,1.9085237931e+11,3.25864571418e+11,7568078691.76,58186475.7769,-1.75223076923,-0.00170769230769,0.216523076923,-1.37352419355,37518165.6231,50779369551.5,1.02307692308,492505748.269,491422432.808,220711464.857,32.0786769231,2.00485239369e+12,4109931054.15,7532470436.91,20503268325.7,1301.84021538,256811925.941
2018-12-31,-1253589162.25,2.06541565003e+12,2.04738954955e+12,2.13484989658e+11,4.08941907529e+11,1.00422307692,141.484961538,-25579042054.7,4.80486588161e+11,5206153660.62,2.52029983052e+11,32630532786.6,2.65064705882,1.72439230769,4.27617566495e+11,89318546105.7,96703498472.6,6744735455.28,242317885.446,20425714264.9,1.02485309801e+12,0.0134573643411,0.565746153846,38656999649.2,59082713914.1,-0.0121869918699,1338410637.79,1018629134.51,37868693432.1,19.8560232558,19.6179379845,2.17229457364,2.62956121076e+11,2.5229923938e+11,5469117384.58,14333151027.9,29.7054263566,13.1518217054,1.06082401305e+11,71.0003769231,5.10084615385,1.00416170939e+11,0.420536585366,23123237351.8,788306217.069,1.79549789272e+12,1.8087312664e+12,28556846873.6,1.13208401131e+12,30385483760.0,1.8537291598e+11,1.77385690624e+12,2.11851384685e+11,1.98356106942e+11,12210000070.6,60316837541.1,-7371958659.44,-4525485287.22,5951965281.18,-6985833865.18,-5718459121.65,-64296952113.9,85467107131.5,1.3166144336e+11,-989169534.662,30477091820.7,30476834621.7,775215270.231,15128752.8846,1231302505.18,-0.0840731707317,81571953559.6,18844217379.6,50616490268.2,1.8701031746,0.693178294574,27.1682945736,32.1890079365,1.04435033205e+11,257198.992308,16.3324098361,16.4642704918,1.57134914916e+11,2.15866140218e+11,3.52446153991e+11,8108548083.44,60361670.0538,-1.61109230769,0.102030769231,0.0104384615385,-0.053,38298048.7385,53764080888.5,1.02307692308,490980979.323,489597858.577,220046855.74,34.9380307692,2.04229241268e+12,2460730511.46,7391601611.44,21164850102.5,1321.13301538,1633604972.25
